"","1","2","3","4","5","6"
"colicine",0,2.88642022948899e-05,0,0,0,0
"coliphage",0,3.5396009217052e-05,1.62947989135292e-05,0,0,0
"collagen",0,5.28676951293971e-05,2.7042234427951e-06,3.11975574005982e-06,4.08662732918362e-06,1.01147627699978e-06
"collagenase",0,2.88642022948899e-05,0,0,0,0
"collagens",0,2.88642022948899e-05,0,0,0,0
"collared",0,1.7698004608526e-05,0,9.39933284341679e-06,0,0
"collaris",0,2.88642022948899e-05,0,0,0,0
"collaterals",0,1.7698004608526e-05,0,0,0,6.09483753401714e-06
"colleagues",0,5.58309884318192e-05,0,5.93031875463306e-06,1.03576496421432e-05,0
"collected",0,1.95954207664865e-05,0,3.12211267990536e-05,2.42353465450467e-05,6.74826957186491e-06
"collection",0,6.53180692216218e-06,0,3.46901408878373e-06,3.02941831813084e-05,2.69930782874596e-05
"collectively",0,6.53180692216218e-06,0,3.46901408878373e-06,2.42353465450467e-05,3.14919246687029e-05
"collett",0,2.88642022948899e-05,0,0,0,0
"colliculus",0,0.000144321011474449,0,0,0,0
"collier",0,2.23323953727277e-05,0,0,1.03576496421432e-05,3.8454143433955e-06
"colon",0,1.4685470869277e-05,2.7042234427951e-06,6.23951148011964e-06,8.17325465836724e-06,3.03442883099935e-06
"colonic",0,2.61272276886487e-05,2.4055701802079e-05,0,3.02941831813084e-06,4.49884638124327e-06
"colonies",0,2.9370941738554e-05,5.4084468855902e-06,4.67963361008973e-06,2.72441821945574e-06,3.03442883099935e-06
"colonisation",0,2.88642022948899e-05,0,0,0,0
"colonising",0,2.88642022948899e-05,0,0,0,0
"colonized",0,6.53180692216218e-06,0,3.46901408878373e-06,6.05883663626168e-06,4.49884638124327e-06
"colony",0,8.81128252156619e-06,1.62253406567706e-05,6.23951148011964e-06,1.36220910972787e-06,2.02295255399957e-06
"colonyforming",0,1.30636138443244e-05,1.80417763515593e-05,0,3.02941831813084e-06,2.24942319062164e-06
"colonystimulating",0,2.9370941738554e-06,1.08168937711804e-05,3.11975574005982e-06,1.36220910972787e-06,1.01147627699978e-06
"columba",0,2.88642022948899e-05,0,0,0,0
"column",0,2.9370941738554e-06,2.7042234427951e-06,6.23951148011964e-06,2.72441821945574e-06,5.05738138499892e-06
"columns",0,2.23323953727277e-05,0,1.18606375092661e-05,0,1.5381657373582e-05
"coma",0,1.11661976863638e-05,0,5.93031875463306e-06,5.1788248210716e-06,0
"comarmond",0,2.88642022948899e-05,0,0,0,0
"combination",0,1.76225650431324e-05,2.97464578707461e-05,3.11975574005982e-05,3.81418550723804e-05,4.24820036339909e-05
"combinations",0,2.9370941738554e-06,2.7042234427951e-06,6.23951148011964e-06,1.0897672877823e-05,1.11262390469976e-05
"combinatorial",0,1.30636138443244e-05,0,2.08140845327024e-05,1.51470915906542e-05,8.99769276248654e-06
"combine",0,5.87418834771079e-06,8.1126703283853e-06,1.55987787002991e-05,1.36220910972787e-05,1.21377153239974e-05
"combined",0,2.9370941738554e-05,1.08168937711804e-05,3.11975574005982e-05,4.35906915112919e-05,6.17000528969868e-05
"combines",0,8.81128252156619e-06,2.7042234427951e-06,4.67963361008973e-06,4.08662732918362e-06,9.10328649299805e-06
"combining",0,1.4685470869277e-05,2.7042234427951e-06,9.35926722017947e-06,2.72441821945574e-05,1.61836204319965e-05
"comes",0,2.9370941738554e-06,8.1126703283853e-06,1.09191450902094e-05,6.81104554863936e-06,3.03442883099935e-06
"comis",0,2.88642022948899e-05,0,0,0,0
"commences",0,1.11661976863638e-05,0,0,1.03576496421432e-05,3.8454143433955e-06
"commencing",0,1.7698004608526e-05,0,0,0,6.09483753401714e-06
"commercial",0,6.53180692216218e-06,0,6.93802817756746e-06,9.08825495439252e-06,4.49884638124327e-06
"commercially",0,1.11661976863638e-05,0,0,1.03576496421432e-05,1.15362430301865e-05
"commitment",0,1.17483766954216e-05,8.1126703283853e-06,6.23951148011964e-06,8.17325465836724e-06,8.09181021599827e-06
"committed",0,1.17483766954216e-05,8.1126703283853e-06,1.55987787002991e-06,5.44883643891149e-06,9.10328649299805e-06
"commonest",0,5.77284045897797e-05,0,0,0,0
"commonly",0,1.4685470869277e-05,2.16337875423608e-05,2.49580459204786e-05,1.22598819875509e-05,2.02295255399957e-05
"communicating",0,1.7698004608526e-05,0,9.39933284341679e-06,0,0
"communication",0,2.05596592169878e-05,1.62253406567706e-05,3.5877191010688e-05,2.99686004140132e-05,2.02295255399957e-05
"communicative",0,2.88642022948899e-05,0,0,0,0
"compact",0,5.87418834771079e-06,5.4084468855902e-06,1.24790229602393e-05,8.17325465836724e-06,1.31491916009972e-05
"compacta",0,1.7698004608526e-05,0,0,8.20824313920244e-06,0
"comparable",0,1.76225650431324e-05,8.1126703283853e-06,2.33981680504487e-05,1.63465093167345e-05,1.4160667877997e-05
"comparatively",0,6.53180692216218e-06,6.01392545051976e-06,1.04070422663512e-05,0,6.74826957186491e-06
"comparator",0,2.88642022948899e-05,0,0,0,0
"compare",0,1.17483766954216e-05,5.4084468855902e-06,1.09191450902094e-05,1.36220910972787e-05,1.4160667877997e-05
"comparing",0,5.87418834771079e-06,2.7042234427951e-06,3.11975574005982e-06,1.0897672877823e-05,4.04590510799914e-06
"comparisons",0,1.17483766954216e-05,8.1126703283853e-06,9.35926722017947e-06,8.17325465836724e-06,9.10328649299805e-06
"compartment",0,8.81128252156619e-06,4.32675750847216e-05,1.55987787002991e-06,1.0897672877823e-05,6.0688576619987e-06
"compartmentalization",0,6.53180692216218e-06,1.20278509010395e-05,3.46901408878373e-06,0,6.74826957186491e-06
"compartments",0,5.87418834771079e-06,1.89295640995657e-05,1.87185344403589e-05,1.0897672877823e-05,1.92180492629959e-05
"compasssolarclock",0,2.88642022948899e-05,0,0,0,0
"compatibility",0,1.7698004608526e-05,0,3.75973313736672e-05,0,0
"compatible",0,1.17483766954216e-05,1.08168937711804e-05,1.09191450902094e-05,1.36220910972787e-06,1.01147627699978e-05
"compelling",0,6.53180692216218e-06,1.20278509010395e-05,0,2.12059282269159e-05,6.74826957186491e-06
"compensation",0,1.17483766954216e-05,2.7042234427951e-06,6.23951148011964e-06,8.17325465836724e-06,1.01147627699978e-06
"compensatory",0,5.87418834771079e-06,5.4084468855902e-06,4.67963361008973e-06,1.0897672877823e-05,2.02295255399957e-06
"compete",0,1.95954207664865e-05,0,1.73450704439186e-05,2.72647648631775e-05,1.79953855249731e-05
"competed",0,1.11661976863638e-05,0,5.93031875463306e-06,0,3.8454143433955e-06
"competence",0,1.95954207664865e-05,0,3.46901408878373e-06,3.02941831813084e-06,8.99769276248654e-06
"competent",0,1.30636138443244e-05,1.80417763515593e-05,0,6.05883663626168e-06,8.99769276248654e-06
"competes",0,1.11661976863638e-05,0,0,5.1788248210716e-06,7.690828686791e-06
"competition",0,5.87418834771079e-06,1.35211172139755e-05,2.18382901804188e-05,3.26930186334689e-05,1.61836204319965e-05
"competitive",0,8.81128252156619e-06,8.1126703283853e-06,1.09191450902094e-05,5.44883643891149e-06,1.4160667877997e-05
"complain",0,2.88642022948899e-05,0,0,0,0
"complement",0,2.34967533908432e-05,2.43380109851559e-05,1.24790229602393e-05,6.81104554863936e-06,4.04590510799914e-06
"complementary",0,2.64338475646986e-05,0.000146028065910935,4.05568246207777e-05,1.77087184264623e-05,1.11262390469976e-05
"complementation",0,3.26590346108109e-05,1.20278509010395e-05,0,6.05883663626168e-06,1.57459623343514e-05
"complementdependent",0,5.30940138255781e-05,0,0,8.20824313920244e-06,0
"complemented",0,6.53180692216218e-06,0,3.46901408878373e-06,6.05883663626168e-06,2.24942319062164e-06
"complementing",0,1.11661976863638e-05,0,0,5.1788248210716e-06,3.8454143433955e-06
"complements",0,6.53180692216218e-06,1.20278509010395e-05,1.04070422663512e-05,3.02941831813084e-06,0
"complete",0,0.000129232143649637,4.32675750847216e-05,8.11136492415554e-05,3.95040641821083e-05,3.54016696949924e-05
"completely",0,3.23080359124093e-05,2.16337875423608e-05,1.87185344403589e-05,1.77087184264623e-05,1.61836204319965e-05
"completion",0,1.30636138443244e-05,0,1.73450704439186e-05,1.21176732725234e-05,4.49884638124327e-06
"complexed",0,6.53180692216218e-06,1.80417763515593e-05,2.77521127102698e-05,1.51470915906542e-05,0
"complexes",0,5.28676951293971e-05,9.46478204978285e-05,7.17543820213759e-05,7.35592919253051e-05,6.37230054509864e-05
"complexing",0,2.88642022948899e-05,0,0,0,0
"complexity",0,2.05596592169878e-05,1.08168937711804e-05,2.18382901804188e-05,4.2228482401564e-05,2.12410018169955e-05
"complicate",0,1.7698004608526e-05,0,1.87986656868336e-05,0,0
"complicating",0,1.7698004608526e-05,0,0,0,6.09483753401714e-06
"component",0,7.04902601725295e-05,8.92393736122383e-05,7.33142598914058e-05,6.53860372669379e-05,2.62983832019944e-05
"components",0,0.000120420861128071,8.38309267266481e-05,0.000112311206642154,8.71813830225838e-05,5.46197189579883e-05
"composed",0,3.52451300862647e-05,3.78591281991314e-05,3.11975574005982e-05,3.54174368529247e-05,2.42754306479948e-05
"composes",0,2.88642022948899e-05,0,0,0,0
"composite",0,8.81128252156619e-06,2.7042234427951e-06,2.65179237905085e-05,1.22598819875509e-05,4.04590510799914e-06
"composition",0,3.81822242601201e-05,3.78591281991314e-05,5.45957254510469e-05,5.85749917182985e-05,2.73098594789942e-05
"compound",0,5.58047893032525e-05,1.89295640995657e-05,2.80778016605384e-05,1.77087184264623e-05,7.08033393899849e-06
"comprehensive",0,2.9370941738554e-06,2.7042234427951e-06,1.7158656570329e-05,2.72441821945574e-05,4.34934799109907e-05
"compressed",0,1.30636138443244e-05,0,6.93802817756746e-06,3.02941831813084e-06,2.24942319062164e-06
"comprise",0,1.4685470869277e-05,8.1126703283853e-06,1.7158656570329e-05,9.53546376809511e-06,6.0688576619987e-06
"comprised",0,1.4685470869277e-05,2.7042234427951e-06,1.55987787002991e-06,8.17325465836724e-06,6.0688576619987e-06
"comprises",0,2.9370941738554e-06,1.89295640995657e-05,1.24790229602393e-05,9.53546376809511e-06,6.0688576619987e-06
"comprising",0,1.4685470869277e-05,5.4084468855902e-06,2.33981680504487e-05,1.90709275361902e-05,1.4160667877997e-05
"computer",0,8.81128252156619e-06,5.4084468855902e-06,3.4317313140658e-05,1.90709275361902e-05,6.27115291739866e-05
"con",0,0.000317506225243788,0,0,0,0
"conalbumin",0,8.65926068846696e-05,0,0,0,0
"concanavalin",0,0.00017698004608526,1.62947989135292e-05,0,0,0
"conceivable",0,1.7698004608526e-05,0,0,0,6.09483753401714e-06
"conceivably",0,2.88642022948899e-05,0,0,0,0
"concentrated",0,1.4685470869277e-05,2.16337875423608e-05,9.35926722017947e-06,9.53546376809511e-06,6.0688576619987e-06
"concentrates",0,1.11661976863638e-05,0,0,5.1788248210716e-06,3.8454143433955e-06
"concentration",0,0.000111609578606505,9.46478204978285e-05,6.23951148011965e-05,3.81418550723804e-05,1.92180492629959e-05
"concentrationdependent",0,2.23323953727277e-05,1.02808734630094e-05,5.93031875463306e-06,0,0
"concentrations",0,0.000149791802866625,6.21971391842873e-05,0.000121670473862333,6.67482463766657e-05,1.82065729859961e-05
"concentric",0,1.7698004608526e-05,0,9.39933284341679e-06,0,0
"concept",0,8.81128252156619e-06,2.7042234427951e-06,2.65179237905085e-05,1.36220910972787e-05,1.4160667877997e-05
"conceptually",0,1.11661976863638e-05,0,2.96515937731653e-05,1.03576496421432e-05,0
"concern",0,2.61272276886487e-05,0,1.73450704439186e-05,3.02941831813084e-06,8.99769276248654e-06
"concerned",0,3.34985930590915e-05,2.05617469260188e-05,5.93031875463306e-06,0,0
"concerns",0,5.87418834771079e-06,2.7042234427951e-06,9.35926722017947e-06,4.08662732918362e-06,2.02295255399957e-06
"concert",0,1.30636138443244e-05,0,6.93802817756746e-06,3.02941831813084e-06,4.49884638124327e-06
"conclude",0,4.99306009555417e-05,4.05633516419265e-05,7.79938935014956e-05,4.2228482401564e-05,1.61836204319965e-05
"concluded",0,2.05596592169878e-05,5.4084468855902e-06,1.55987787002991e-06,5.44883643891149e-06,2.02295255399957e-06
"conclusion",0,8.81128252156619e-06,5.4084468855902e-06,6.23951148011964e-06,5.44883643891149e-06,2.02295255399957e-06
"conclusions",0,8.81128252156619e-06,2.7042234427951e-06,1.55987787002991e-06,5.44883643891149e-06,3.03442883099935e-06
"concomitant",0,1.30636138443244e-05,0,3.46901408878373e-06,1.21176732725234e-05,1.34965391437298e-05
"concurrent",0,6.53180692216218e-06,0,1.38760563551349e-05,9.08825495439252e-06,1.57459623343514e-05
"concurrently",0,1.11661976863638e-05,0,0,5.1788248210716e-06,3.8454143433955e-06
"condensate",0,6.53180692216218e-06,0,2.42830986214861e-05,3.02941831813084e-05,8.99769276248654e-06
"condensing",0,2.88642022948899e-05,0,0,0,0
"condidate",0,2.88642022948899e-05,0,0,0,0
"condition",0,8.81128252156619e-06,8.1126703283853e-06,1.09191450902094e-05,6.81104554863936e-06,5.05738138499892e-06
"conditioned",0,8.81128252156619e-06,5.4084468855902e-06,4.67963361008973e-06,1.0897672877823e-05,8.09181021599827e-06
"conditioning",0,2.9370941738554e-06,1.08168937711804e-05,3.11975574005982e-06,1.36220910972787e-06,6.0688576619987e-06
"conditionsfor",0,2.88642022948899e-05,0,0,0,0
"conduct",0,1.30636138443244e-05,0,6.93802817756746e-06,3.02941831813084e-06,6.74826957186491e-06
"conductance",0,0.00010867248443265,7.30140329554677e-05,1.87185344403589e-05,6.81104554863936e-06,1.82065729859961e-05
"conductances",0,6.53180692216218e-06,1.80417763515593e-05,3.46901408878373e-06,3.02941831813084e-06,0
"conducted",0,2.9370941738554e-06,2.7042234427951e-06,1.24790229602393e-05,6.81104554863936e-06,7.08033393899849e-06
"conducting",0,6.53180692216218e-06,0,2.42830986214861e-05,1.21176732725234e-05,2.24942319062164e-06
"conduction",0,8.81128252156619e-06,1.08168937711804e-05,3.74370688807179e-05,4.08662732918362e-06,6.0688576619987e-06
"cone",0,1.76225650431324e-05,2.43380109851559e-05,1.7158656570329e-05,4.08662732918362e-06,4.04590510799914e-06
"cones",0,2.64338475646986e-05,2.16337875423608e-05,1.55987787002991e-05,4.08662732918362e-06,1.01147627699978e-06
"confer",0,5.87418834771079e-06,1.62253406567706e-05,1.40389008302692e-05,9.53546376809511e-06,8.09181021599827e-06
"conferred",0,2.9370941738554e-06,8.1126703283853e-06,3.11975574005982e-06,5.44883643891149e-06,1.01147627699978e-06
"conferring",0,6.53180692216218e-06,1.20278509010395e-05,0,3.02941831813084e-06,6.74826957186491e-06
"confers",0,2.9370941738554e-06,2.16337875423608e-05,6.23951148011964e-06,8.17325465836724e-06,9.10328649299805e-06
"configuration",0,5.87418834771079e-06,1.35211172139755e-05,1.24790229602393e-05,1.36220910972787e-05,1.01147627699978e-05
"configurations",0,6.53180692216218e-06,0,2.08140845327024e-05,1.51470915906542e-05,1.12471159531082e-05
"confined",0,1.17483766954216e-05,1.08168937711804e-05,3.5877191010688e-05,1.90709275361902e-05,7.08033393899849e-06
"confirm",0,1.4685470869277e-05,1.89295640995657e-05,1.55987787002991e-05,1.36220910972787e-05,1.21377153239974e-05
"confirmation",0,1.30636138443244e-05,0,6.93802817756746e-06,9.08825495439252e-06,4.49884638124327e-06
"confirmatory",0,2.88642022948899e-05,0,0,0,0
"confirming",0,8.81128252156619e-06,2.7042234427951e-06,7.79938935014956e-06,6.81104554863936e-06,2.02295255399957e-06
"conflict",0,1.95954207664865e-05,0,3.8159154976621e-05,2.12059282269159e-05,2.02448087155947e-05
"conflicting",0,8.81128252156619e-06,8.1126703283853e-06,3.11975574005982e-06,2.72441821945574e-06,1.01147627699978e-06
"conflicts",0,1.11661976863638e-05,0,2.37212750185322e-05,5.1788248210716e-06,0
"conform",0,3.5396009217052e-05,0,0,2.46247294176073e-05,0
"conformation",0,5.58047893032525e-05,5.13802454131069e-05,2.18382901804188e-05,3.13308095237411e-05,4.14705273569911e-05
"conformational",0,2.05596592169878e-05,3.78591281991314e-05,3.4317313140658e-05,4.76773188404755e-05,3.03442883099935e-05
"conformations",0,2.34967533908432e-05,1.08168937711804e-05,2.18382901804188e-05,1.49843002070066e-05,1.01147627699978e-05
"confounded",0,1.11661976863638e-05,0,0,5.1788248210716e-06,3.8454143433955e-06
"confusing",0,1.7698004608526e-05,1.62947989135292e-05,0,0,0
"confusion",0,1.7698004608526e-05,1.62947989135292e-05,0,0,0
"congeneic",0,2.88642022948899e-05,0,0,0,0
"conjecture",0,1.7698004608526e-05,0,9.39933284341679e-06,0,0
"conjugal",0,2.88642022948899e-05,0,0,0,0
"conjugated",0,2.23323953727277e-05,0,3.55819125277984e-05,1.03576496421432e-05,0
"conjugates",0,1.95954207664865e-05,1.20278509010395e-05,0,6.05883663626168e-06,4.49884638124327e-06
"conjunction",0,8.81128252156619e-06,8.1126703283853e-06,3.11975574005982e-06,5.44883643891149e-06,2.02295255399957e-06
"connect",0,5.87418834771079e-06,2.7042234427951e-06,3.11975574005982e-06,9.53546376809511e-06,8.09181021599827e-06
"connected",0,8.81128252156619e-06,1.35211172139755e-05,1.55987787002991e-05,1.0897672877823e-05,1.21377153239974e-05
"connecting",0,5.87418834771079e-06,5.4084468855902e-06,1.55987787002991e-05,5.44883643891149e-06,2.02295255399957e-06
"connection",0,6.53180692216218e-06,0,1.73450704439186e-05,2.12059282269159e-05,2.02448087155947e-05
"connections",0,1.17483766954216e-05,1.35211172139755e-05,1.55987787002991e-05,1.49843002070066e-05,1.82065729859961e-05
"connective",0,1.7698004608526e-05,0,0,8.20824313920244e-06,0
"connectivity",0,2.9370941738554e-06,2.7042234427951e-06,6.23951148011964e-06,2.72441821945574e-05,2.12410018169955e-05
"connexon",0,5.77284045897797e-05,0,0,0,0
"connor",0,1.11661976863638e-05,1.02808734630094e-05,5.93031875463306e-06,0,0
"consequence",0,3.23080359124093e-05,2.43380109851559e-05,2.65179237905085e-05,2.72441821945574e-05,1.11262390469976e-05
"consequences",0,1.17483766954216e-05,1.62253406567706e-05,3.74370688807179e-05,1.63465093167345e-05,1.61836204319965e-05
"consequent",0,1.30636138443244e-05,0,3.46901408878373e-06,6.05883663626168e-06,8.99769276248654e-06
"consequently",0,1.4685470869277e-05,1.89295640995657e-05,1.7158656570329e-05,1.0897672877823e-05,1.92180492629959e-05
"conserved",0,2.64338475646986e-05,0.000116281608040189,9.51525500718246e-05,0.000140307538301971,6.77689105589855e-05
"consider",0,1.4685470869277e-05,2.7042234427951e-06,9.35926722017947e-06,1.0897672877823e-05,3.03442883099935e-06
"considerable",0,6.46160718248187e-05,1.35211172139755e-05,3.5877191010688e-05,1.22598819875509e-05,1.51721441549968e-05
"considerations",0,2.61272276886487e-05,0,3.46901408878373e-06,3.02941831813084e-06,2.24942319062164e-06
"considered",0,6.16789776509633e-05,8.1126703283853e-06,4.67963361008973e-05,4.2228482401564e-05,2.42754306479948e-05
"considering",0,6.53180692216218e-06,0,6.93802817756746e-06,6.05883663626168e-06,1.34965391437298e-05
"consist",0,1.76225650431324e-05,5.4084468855902e-06,1.40389008302692e-05,8.17325465836724e-06,6.0688576619987e-06
"consisted",0,1.11661976863638e-05,0,0,1.55364744632148e-05,7.690828686791e-06
"consistently",0,1.17483766954216e-05,5.4084468855902e-06,4.67963361008973e-06,1.22598819875509e-05,8.09181021599827e-06
"consists",0,4.11193184339755e-05,3.78591281991314e-05,2.49580459204786e-05,2.1795345755646e-05,1.11262390469976e-05
"conspecific",0,2.9370941738554e-06,1.08168937711804e-05,4.67963361008973e-06,8.17325465836724e-06,1.01147627699978e-06
"conspecifics",0,1.11661976863638e-05,0,0,1.03576496421432e-05,7.690828686791e-06
"constance",0,2.88642022948899e-05,0,0,0,0
"constancy",0,3.34985930590915e-05,2.05617469260188e-05,0,1.03576496421432e-05,0
"constant",0,7.34273543463849e-05,4.32675750847216e-05,7.0194504151346e-05,2.1795345755646e-05,2.93328120329937e-05
"constants",0,5.87418834771079e-06,1.62253406567706e-05,1.40389008302692e-05,8.17325465836724e-06,1.01147627699978e-06
"constituent",0,5.87418834771079e-06,2.7042234427951e-06,1.55987787002991e-05,9.53546376809511e-06,4.04590510799914e-06
"constituents",0,1.17483766954216e-05,8.1126703283853e-06,1.24790229602393e-05,1.49843002070066e-05,3.03442883099935e-06
"constitute",0,5.87418834771079e-06,2.16337875423608e-05,1.87185344403589e-05,2.1795345755646e-05,2.02295255399957e-06
"constitutively",0,2.9370941738554e-06,1.35211172139755e-05,6.23951148011964e-06,5.44883643891149e-06,4.04590510799914e-06
"constiutent",0,2.88642022948899e-05,0,0,0,0
"constraint",0,2.9370941738554e-06,1.35211172139755e-05,7.79938935014956e-06,6.81104554863936e-06,4.04590510799914e-06
"constraints",0,5.87418834771079e-06,1.08168937711804e-05,2.65179237905085e-05,1.90709275361902e-05,1.31491916009972e-05
"constriction",0,6.53180692216218e-06,0,1.04070422663512e-05,3.02941831813084e-06,2.24942319062164e-06
"constrictors",0,2.88642022948899e-05,0,0,0,0
"constructed",0,2.64338475646986e-05,2.16337875423608e-05,2.33981680504487e-05,6.81104554863936e-06,8.09181021599827e-06
"construction",0,8.81128252156619e-06,2.7042234427951e-06,2.96376795305683e-05,9.53546376809511e-06,5.05738138499892e-06
"constructions",0,1.7698004608526e-05,0,0,0,6.09483753401714e-06
"consuming",0,3.34985930590915e-05,0,5.93031875463306e-06,5.1788248210716e-06,0
"contact",0,4.40564126078309e-05,2.97464578707461e-05,2.33981680504487e-05,2.86063913042853e-05,1.71950967089963e-05
"contacts",0,5.87418834771079e-06,2.16337875423608e-05,1.87185344403589e-05,2.58819730848296e-05,1.92180492629959e-05
"contagiously",0,2.88642022948899e-05,0,0,0,0
"contain",0,0.000152728897040481,8.38309267266481e-05,5.45957254510469e-05,3.54174368529247e-05,2.52869069249946e-05
"contained",0,2.9370941738554e-05,1.89295640995657e-05,1.24790229602393e-05,9.53546376809511e-06,5.05738138499892e-06
"contaminated",0,2.23323953727277e-05,1.02808734630094e-05,5.93031875463306e-06,0,0
"content",0,7.63644485202403e-05,2.7042234427951e-05,2.33981680504487e-05,4.08662732918362e-05,2.42754306479948e-05
"contention",0,1.7698004608526e-05,0,0,1.64164862784049e-05,0
"contents",0,5.87418834771079e-06,5.4084468855902e-06,3.11975574005982e-06,1.0897672877823e-05,3.03442883099935e-06
"context",0,8.81128252156619e-06,1.35211172139755e-05,2.18382901804188e-05,3.81418550723804e-05,2.83213357559939e-05
"conti",0,1.7698004608526e-05,0,0,0,6.09483753401714e-06
"contiguous",0,1.30636138443244e-05,0,6.93802817756746e-06,3.02941831813084e-06,4.49884638124327e-06
"continents",0,6.53180692216218e-06,0,1.73450704439186e-05,1.51470915906542e-05,8.99769276248654e-06
"continue",0,1.17483766954216e-05,5.4084468855902e-06,1.09191450902094e-05,8.17325465836724e-06,7.08033393899849e-06
"continued",0,1.4685470869277e-05,2.7042234427951e-06,7.79938935014956e-06,5.44883643891149e-06,9.10328649299805e-06
"continues",0,2.9370941738554e-06,5.4084468855902e-06,3.11975574005982e-06,6.81104554863936e-06,2.02295255399957e-06
"continuing",0,5.87418834771079e-06,2.7042234427951e-06,6.23951148011964e-06,1.36220910972787e-06,1.01147627699978e-06
"continuously",0,8.81128252156619e-06,8.1126703283853e-06,6.23951148011964e-06,1.36220910972787e-06,4.04590510799914e-06
"continuum",0,2.9370941738554e-06,2.7042234427951e-06,3.11975574005982e-06,4.08662732918362e-06,8.09181021599827e-06
"contour",0,2.23323953727277e-05,0,5.93031875463306e-06,0,3.8454143433955e-06
"contract",0,3.5396009217052e-05,0,1.87986656868336e-05,0,0
"contractile",0,2.34967533908432e-05,5.4084468855902e-06,1.55987787002991e-06,6.81104554863936e-06,1.01147627699978e-06
"contractility",0,2.9370941738554e-06,5.4084468855902e-06,4.67963361008973e-06,4.08662732918362e-06,1.01147627699978e-06
"contraction",0,5.58047893032525e-05,2.16337875423608e-05,2.18382901804188e-05,5.44883643891149e-06,7.08033393899849e-06
"contractions",0,1.95954207664865e-05,0,3.46901408878373e-06,3.02941831813084e-06,2.24942319062164e-06
"contractures",0,1.7698004608526e-05,1.62947989135292e-05,0,0,0
"contralateral",0,7.07920184341041e-05,1.62947989135292e-05,0,0,0
"contrary",0,1.17483766954216e-05,1.08168937711804e-05,9.35926722017947e-06,6.81104554863936e-06,3.03442883099935e-06
"contrast",0,0.00011454667278036,0.000100056267383419,0.000107631573032064,0.000106252310558774,6.0688576619987e-05
"contrasted",0,1.7698004608526e-05,0,1.87986656868336e-05,0,0
"contrasting",0,1.95954207664865e-05,0,2.77521127102698e-05,9.08825495439252e-06,4.49884638124327e-06
"contrasts",0,1.30636138443244e-05,0,1.73450704439186e-05,1.51470915906542e-05,2.24942319062164e-06
"contribute",0,2.9370941738554e-05,6.49013626270824e-05,4.05568246207777e-05,4.35906915112919e-05,4.65279087419901e-05
"contributes",0,1.17483766954216e-05,1.62253406567706e-05,1.7158656570329e-05,1.90709275361902e-05,2.3263954370995e-05
"contributing",0,2.9370941738554e-06,2.7042234427951e-06,1.40389008302692e-05,1.36220910972787e-05,7.08033393899849e-06
"controlling",0,4.40564126078309e-05,2.7042234427951e-05,4.36765803608375e-05,3.67796459626526e-05,2.42754306479948e-05
"controls",0,3.23080359124093e-05,2.7042234427951e-05,4.83562139709272e-05,8.71813830225838e-05,2.93328120329937e-05
"controversial",0,1.76225650431324e-05,8.1126703283853e-06,2.33981680504487e-05,1.90709275361902e-05,1.4160667877997e-05
"controversy",0,3.26590346108109e-05,1.80417763515593e-05,1.38760563551349e-05,2.72647648631775e-05,0
"conventionally",0,1.30636138443244e-05,0,6.93802817756746e-06,3.02941831813084e-06,4.49884638124327e-06
"converges",0,1.7698004608526e-05,0,0,8.20824313920244e-06,0
"conversely",0,5.87418834771079e-06,5.4084468855902e-06,9.35926722017947e-06,1.0897672877823e-05,1.51721441549968e-05
"conversion",0,2.05596592169878e-05,2.43380109851559e-05,1.7158656570329e-05,3.95040641821083e-05,3.84360985259918e-05
"convert",0,5.87418834771079e-06,1.62253406567706e-05,6.23951148011964e-06,6.81104554863936e-06,1.01147627699978e-05
"converting",0,1.17483766954216e-05,2.7042234427951e-06,4.67963361008973e-06,4.08662732918362e-06,6.0688576619987e-06
"converts",0,2.05596592169878e-05,5.4084468855902e-06,6.23951148011964e-06,2.72441821945574e-06,4.04590510799914e-06
"conveyed",0,2.9370941738554e-06,2.7042234427951e-06,1.55987787002991e-06,1.36220910972787e-06,1.01147627699978e-06
"convincingly",0,1.11661976863638e-05,0,5.93031875463306e-06,0,3.8454143433955e-06
"conzelmann",0,2.88642022948899e-05,0,0,0,0
"coohterminal",0,0.000144321011474449,0,0,0,0
"coohterminalspecific",0,2.88642022948899e-05,0,0,0,0
"cooke",0,6.53180692216218e-06,1.20278509010395e-05,3.46901408878373e-06,0,6.74826957186491e-06
"cooling",0,6.53180692216218e-06,0,4.85661972429722e-05,9.69413861801868e-05,2.4743655096838e-05
"coombs",0,2.88642022948899e-05,0,0,0,0
"cooo",0,2.88642022948899e-05,0,0,0,0
"cooper",0,8.81128252156619e-06,5.4084468855902e-06,1.40389008302692e-05,1.36220910972787e-05,1.01147627699978e-05
"cooperation",0,1.76225650431324e-05,2.7042234427951e-06,7.79938935014956e-06,1.36220910972787e-05,8.09181021599827e-06
"cooperative",0,1.17483766954216e-05,8.1126703283853e-06,1.24790229602393e-05,2.45197639751017e-05,1.31491916009972e-05
"cooperativity",0,5.87418834771079e-06,1.35211172139755e-05,9.35926722017947e-06,5.44883643891149e-06,3.03442883099935e-06
"coordinate",0,8.81128252156619e-06,1.08168937711804e-05,1.55987787002991e-05,1.77087184264623e-05,9.10328649299805e-06
"coordinated",0,8.81128252156619e-06,8.1126703283853e-06,1.24790229602393e-05,2.1795345755646e-05,1.11262390469976e-05
