"Abbreviation","Meaning"
"DLCO","diffusing capacity of the lung for carbon monoxide"
"DLE","disseminated lupus erythematosus (systemic lupus erythematosus)"
"DLI","donor lymphocyte infusion"
"DLP","dyslipoproteinemia [1]"
"DM","diabetes mellitus, Dermatomyositis"
"DM2","Type two diabetes mellitus, formerly known as Non-Insulin Dependent Diabetes Mellitus (NIDDM)."
"DMARD","disease-modifying antirheumatic drug"
"DMD","Duchenne muscular dystrophy; Dentariae Medicinae Doctor, that is, Doctor of Dental Medicine"
"DMPA","depot medroxyprogesterone acetate"
"DMSA","dimercaptosuccinic acid"
"DMT","dimethyltryptamine"
"DNA","deoxyribonucleic acid"
"DNACPR","do not attempt cardiopulmonary resuscitation"
"DNI","do not intubate"
"DNR","do not resuscitate"
"DNAR","do not attempt resuscitation"
"DO","Doctor of Osteopathic Medicine"
"D/O","died of, disorder"
"DOA","dead on arrival  drugs of abuse"
"DOB","difficulty of breathing Date of birth"
"DOE","dyspnea on exertion"
"DOH","Department of Health"
"DOL","day of life"
"DOS","date of service"
"DOSS","docusate sodium; from the chemical name dioctyl sodium sulfosuccinate"
"DP","dorsalis pedis"
"DPH","diphenylhydantoin"
"DPL","diagnostic peritoneal lavage"
"DPLD","diffuse parenchymal lung disease"
"DPM","Doctor of Podiatric Medicine"
"DPT","diphtheria-pertussis-tetanus (DPT vaccine)"
"DRE","Digital Rectal Examination"
"DRPLA","Dentatorubral-Pallidoluysian Atrophy"
"DRT","dead right there"
"DS","disease Down syndrome (trisomy 21)"
"DSA","digital subtraction angiography  Donor specific antibody"
"DSD","dry sterile dressing"
"Dsg","dressing"
"DSM","Diagnostic and Statistical Manual of Mental Disorders"
"dsRNA","double-stranded RNA"
"DT","diphtheria-tetanus (combined vaccination) delirium tremens"
"D/T","due to"
"DTA","descending thoracic aorta"
"DTaP","diphtheria–tetanus–acellular pertussis (combined vaccination)"
"DTP","diphtheria-tetanus-pertussis (combined vaccination)"
"DTR","deep tendon reflex"
"DTs","delirium tremens"
"DU","duodenal ulcer (see peptic ulcer)"
"DUB","dysfunctional uterine bleeding"
"DVT","deep vein thrombosis"
"DW","dextrose in water"
"D5W","5% dextrose in water"
"DX  Dx  dx","diagnosis"
"DXA","Dual-energy X-ray absorptiometry"
"DZ","disease"
"E","ecstasy electrolytes Enterococcus epinephrine"
"EAC","external acoustic meatus"
"EACA","epsilon-aminocaproic acid"
"EAEC","enteroadhesive Escherichia coli"
"EAF","enteric adherence factor"
"EAM","external auditory meatus"
"EBRT","external beam radiation therapy"
"EBL","estimated blood loss (see bleeding)"
"EBM","evidence-based medicine  expressed breast milk"
"EBT","electron beam tomography"
"EBV","Epstein–Barr virus"
"EC","enteric coating"
"ECC","endocervical curettage"
"ECD","endocardial cushion defect"
"ECF","extracellular fluid  enteric cytopathic human orphan"
"ECG","electrocardiogram"
"ECM","extracellular matrix"
"ECHO","enteric cytopathic human orphan virus"
"ECI","febris e causa ignota (normally written as febris E.C.I.) fever of unknown origin"
"ECLS","extracorporeal life support"
"ECMO","extracorporeal membrane oxygenation"
"ECP","emergency care practitioner"
"ECT","electroconvulsive therapy"
"ECTR","endoscopic carpal tunnel release"
"ED","emergency department erectile dysfunction ectodermal dysplasia  effective dose  emotional distress"
"EDC","estimated date of confinement (at 40/40 weeks of pregnancy)"
"EDD","estimated date of delivery (at 40/40 weeks of pregnancy); expected date of delivery  estimated date of discharge"
"EDF","end diastolic flow (describing the flow of blood through the umbilical artery)"
"EDH","epidural hematoma"
"EDM","esophageal Doppler monitor"
"EDRF","endothelium-derived relaxing factor aka nitric oxide"
"EDTA","ethylene-diamine-tetraacetic acid"
"EDS","Ehlers-Danlos syndrome"
"EDV","end-diastolic volume"
"EEE","eastern equine encephalitis"
"EEG","electroencephalogram"
"EENT","ears, eyes, nose, throat (see otolaryngology)"
"EEX","electrodiagnosis"
"EF","ejection fraction"
"EFM","electronic fetal monitoring, aka external fetal monitoring (cardiotocograph)"
"EFS","event-free survival"
"EFW","estimated fetal weight"
"EGBUS","external genitalia, Bartholin's glands, urethra & Skene's glands"
"EGD","esophagogastroduodenoscopy"
"EGF","epidermal growth factor"
"EGPA","eosinophilic granulomatosis with polyangiitis (formerly known as Churg-Strauss syndrome)"
"EHEC","enterohemorrhagic Escherichia coli"
"EIEC","enteroinvasive Escherichia coli"
"EIA","external iliac artery External iliac artery"
"EJ","elbow jerk (triceps reflex)"
"EKG","electrocardiogram"
"ELLSCS","elective lower segment caesarean section"
"ELISA","enzyme-linked immunosorbent assay"
"EM","erythema multiforme"
"EMB","ethambutol  endometrial biopsy or endomyocardial biopsy"
"EmBx","endometrial biopsy"
"EMC","encephalomyocarditis"
"EMD","early morning discovery electromechanical dissociation"
"EMDEX","essential medicines index"
"EMF","endomyocardial fibrosis"
"EMG","electromyography"
"EMLSCS","emergency lower segment Caesarean section"
"EMS","Emergency Medical Service(s)"
"EMU","early morning urine sample (being the most concentrated, generally used for pregnancy testing)"
"Emul","emulsion"
"ENT","ear, nose, and throat (see otolaryngology)"
"EOB","edge of bed"
"EoL","End-of-life (adjective)"
"EoLC","End-of-life care"
"EOM","extraocular muscles"
"EOMI","extraocular movements intact (see eye movement)"
"EPCT","estrogen-progesterone challenge test"
"EPEC","enteropathogenic Escherichia coli"
"EPH","edema, proteinuria, hypertension"
"EPO","erythropoietin"
"EPS","electrophysiology  extrapyramidal syndromes"
"ER","emergency room"
"ERCP","endoscopic retrograde cholangiopancreatography"
"ERM","epiretinal membrane"
"ERMS","embryonal rhabdomyosarcoma"
"ERT","enzyme replacement therapy"
"ESA","erythropoiesis-stimulating agent"
"ESHAP","etoposide, cisplatin, cytarabine, methylprednisolone (chemotherapy regimen for relapsed Non-Hodgkin lymphoma)"
"ESI","epidural steroid injection"
"ESL","extracorporeal shockwave lithotripsy (also ESWL) (see lithotriptor); English as a second language (affects provider–patient communication)"
"ESBL","extended spectrum beta-lactamase (see also gram-negative bacteria)"
"ESM","ejection systolic murmur"
"ESR","erythrocyte sedimentation rate"
"ESRF","end-stage renal failure"
"ESRD","end-stage renal disease"
"ESS","empty sella syndrome  enhanced support service"
"EST","endodermal sinus tumor"
"ESV","end-systolic volume"
"ESWL","extracorporeal shockwave lithotripsy (also ESL) (see lithotriptor)"
"ET","endothelin endotracheal
embryo transfer 
Essential thrombocythemia"
"ETEC","enterotoxigenic Escherichia coli"
"Etiol","etiology"
"ETOH","ethanol (ethyl alcohol)"
"ETS","endoscopic thoracic sympathectomy"
"ETT","endotracheal tube"
"EUA","examination under anesthesia"
"EUP","extrauterine pregnancy"
"EUS","endoscopic ultrasonography"
"EVAR","endovascular aneurysm repair"
"EVF","erythrocyte volume fraction (see hematocrit)"
"Ex-n","previously; used for premature infants that have been born (ex-28 = born at 28 weeks gestation)"
"Exam","examination (for example, physical examination)"
"Exp Lap","exploratory laparotomy"
"Ext","extremities"
"Fx","fracture"
"FA","Fanconi anemia"
"FAMMM syndrome","familial atypical multiple mole melanoma syndrome"
"FANA","fluorescent antinuclear antibody test"
"FAP","familial adenomatous polyposis"
"FAST","focused assessment with sonography for trauma"
"FB","foreign body"
"FBC","Family Birth Center full blood count"
"FBE","full blood exam"
"FBG","fasting blood glucose"
"FBS","Failed back syndrome  fasting blood sugar"
"F/C","fevers and/or chills"
"F/C/S","fevers and/or chills and/or sweating"
"FCS","Faciocutaneoskeletal syndrome"
"FDC","follicular dendritic cells
fixed dose combination"
"FDG","fluordeoxyglucose"
"FDIU","fetal demise in utero"
"FDP","fibrin degradation product"
"Fe","iron"
"FEF25–75","forced expiratory flow at 25–75% of forced vital capacity"
"fem","female femoral"
"FEN","Fluids, Electrolytes, Nutrition"
"FEP","free erythrocyte protoporphyrin  fibroepithelial polyp"
"FESS","functional endoscopic sinus surgery"
"FET","frozen embryo transfer"
"FEV1","forced expiratory volume in 1 second"
"FF","free fluids (non-thickened fluids)"
"FFA","free fatty acids"
"FFP","fresh frozen plasma"
"FHR","fetal heart rate"
"FHS","fetal heart sound"
"FHT","fetal heart tones"
"FHx","family history (in medicine, meaning specifically the medical histories of family members and ancestors)"
"FIBD","found in bed dead"
"FISH","fluorescence in situ hybridization"
"FL","femur length"
"FLAIR","fluid attenuated inversion recovery"
"FLK","funny-looking kid (slang reference to dysmorphic features)"
"fl.oz.","fluid ounce (1 Imperial fluid ounce ˜ 28.4 mL; 1 U.S. fluid ounce ˜ 29.6 mL) (use of these units is generally deprecated in modern medicine in favor of mL)"
"FM","fetal movement"
"FMF","fetal movements felt"
"FMP","first menstrual period (that is, menarche)"
"FMPP","Familial male precocious puberty"
"fMRI","functional magnetic resonance imaging"
"FMS","Fibromyalgia Syndrome"
"F<U+2192>N","finger-to-nose test (one simple clinical test of motor coordination)"
"FNA","fine-needle aspiration"
"FNAB","fine-needle aspiration biopsy"
"FNAC","fine-needle aspiration cytology"
"FNC","full nursing care"
"FNH","focal nodular hyperplasia"
"FOB","Foot of Bed, father of baby"
"FOBT","fecal occult blood test"
"FOF","found on floor (patient fell out of bed)
FOP Fibrousdysplasia ossificans progressiva"
"FOS","full of stool"
"FOOSH","fall on outstretched hand"
"FP","Family Planning"
"FPG","fasting plasma glucose"
"FRDA","Friedreich's ataxia"
"FROM","full range of motion"
"FSBS","finger-stick blood sugar (one method of blood glucose monitoring)"
"FSE","fetal scalp electrode"
"FSGS","focal and segmental glomerulosclerosis"
"FSH","follicle-stimulating hormone"
"FTA","fluorescent treponemal antibody (see syphilis)"
"FTA-ABS","fluorescent treponemal antibody absorption (see syphilis)"
"FTT","failure to thrive"
"F/U","follow-up"
"FUE","Follicular Unit Extraction"
"FUT","Follicular Unit Transplantation"
"FUO","fever of unknown origin"
"FVC","forced vital capacity (spirometry test value used in assessment of chronic obstructive pulmonary disease)"
"FWB","full weight bearing, fetal wellbeing"
"FWD","full ward diet;  forward"
"Fx","Function; Fracture"
"G","gravidity (total number of pregnancies, successful or not) guanosine"
"G6PD","glucose-6-phosphate-dehydrogenase"
"GA","general anaesthesia gestational age"
"GABA","gamma-aminobutyric acid"
"GABHS","group A beta-hemolytic streptococcus"
"GAPS","Guidelines for Adolescent Preventative Services"
"GAVE","Gastric antral vascular ectasia"
"GB","gallbladder"
"GBC","gallbladder carcinoma"
"GBS","group B Strep. Guillain–Barré syndrome"
"GBM","glioblastoma multiforme glomerular basement membrane"
"GC","general condition gonococcus"
"GCA","giant-cell arteritis"
"GCS","Glasgow Coma Scale Graduated compression stockings"
"GCT","germ cell tumor  glucose challenge test  Giant cell tumor"
"G-CSF","granulocyte colony-stimulating factor"
"GDA","gastroduodenal artery"
"GDLH","glutamate dehydrogenase"
"GDM","Gestational Diabetes Mellitus"
"GDMT","Guideline Directed Medical Therapy"
"GDP","guanosine diphosphate"
"GDS","Geriatric Depression Scale"
"GERD","gastroesophageal reflux disease"
"GFR","glomerular filtration rate"
"GGT","gamma glutamyl transferase"
"GGTP","gamma glutamyl transpeptidase"
"GH","growth hormone"
"GHRF","growth hormone releasing factor"
"GHRH","growth hormone releasing hormone"
"GI","gastrointestinal; gastrointestinal tract"
"GIA","A model of surgical staple (GI: Gastro-Intestinal)"
"GIB","gastrointestinal bleed"
"GIS","GastroIntestinal Surgeon"
"GIFT","gamete intrafallopian transfer"
"GIST","gastrointestinal stromal tumor"
"GIT","gastrointestinal tract"
"GITS","gastrointestinal therapeutic system"
"GLF","ground level fall"
"GMC","general medical condition (e.g., 0 GMC)"
"GM-CSF","granulocyte macrophage colony-stimulating factor"
"GMP","guanosine monophosphate"
"GN","glomerulonephritis"
"GNRH","gonadotropin-releasing hormone"
"GOAT","Galveston Orientation and Amnesia Test"
"GOC","Goals of care"
"GOD","glucose oxidase"
"GOK","God only knows"
"GOMER","get outta my emergency room"
"GORD","gastro-oesophageal reflux disease"
"GOT","glutamic-oxalacetic transaminase"
"GP","general practitioner  Goodpasture's syndrome"
"GPA","granulomatosis with polyangiitis (formerly known as Wegener's granulomatosis)"
"GPCL","gas permeable contact lens"
"GPT","glutamic-pyruvic transaminase"
"Gr","grain"
"GRAV I","gravidity = 1 (indicating a woman during her first pregnancy)"
"GSW","gunshot wound"
"GTN","glyceryl trinitrate  gestational trophoblastic neoplasia"
"GTT","glucose tolerance test  gestational trophoblastic tumor"
"Gtts","guttae (drops)"
"GU","genitourinary gastric ulcer"
"GUM","genitourinary medicine (often used more restrictively as alternative to sexually transmitted disease clinic)"
"GvH","graft-versus-host"
"GvHD,  GVHD","graft-versus-host disease"
"GXT","graded exercise test"
"GYN","gynecology"
"h","hr or hours"
"H","histamine or its receptors (if with subscripts) hemagglutinin"
"Hx","history"
"HA","hypertonia arterialis headache  calcium hydroxyapatite"
"H/A","headache"
"HAA","hepatitis-associated antigen or #History As Above"
"HAART","highly active antiretroviral therapy"
"HACA","human anti-chimeric antibody"
"HACE","high-altitude cerebral edema"
"HACEK","acronym for a group of bacteria that are a frequent cause of endocarditis in children"
"HAD","HIV-associated dementia"
"HADS","Hospital Anxiety and Depression Scale"
"HAE","hereditary angioedema"
"H/A","headache"
"HAI","healthcare-associated infection or hospital-acquired infection"
"HALE","health-adjusted life expectancy"
"HAPE","high-altitude pulmonary edema"
"HAV","hepatitis A virus"
"Hb","hemoglobin"
"HB","heart block"
"Hb%","hemoglobin concentration in gram per deciliter"
"HbA","hemoglobin A (commonest type of hemoglobin)"
"HbA1c","glycosylated hemoglobin (used as a measure of diabetes control)"
"HBD","has been drinking"
"HbF","fetal hemoglobin"
"HBO","hyperbaric oxygen"
"HBP","high blood pressure, that is, hypertension"
"HbsAg","hepatitis B surface antigen"
"HBV","hepatitis B virus"
"HC","head circumference  hemorrhagic colitis  homocysteine"
"HCA","Healthcare Associated, as in HCA-CDI"
"HCAP","health care-associated (or acquired) pneumonia"
"HCC","hepatocellular carcinoma"
"HCF","Healthcare Facility"
"HCFA","Healthcare Facility Associated, as in HCFA-CDI"
"hCG","human chorionic gonadotropin"
"HCL","hairy cell leukemia"
"HCM","hypertrophic cardiomyopathy  healthcare maintenance"
"HCO3","bicarbonate"
"Hct","hematocrit"
"HCT","hematocrit  hematopoietic cell transplantation"
"HCRP","Hospital Cornea Retrieval Programme"
"HCTZ","hydrochlorothiazide"
"HCV","hepatitis C virus"
"HD","Hodgkin disease Hemodialysis  Huntington's disease"
"HDL","high-density lipoprotein"
"HDL-C","high-density lipoprotein-cholesterol"
"HDN","hemolytic disease of the newborn"
"HDS","hemodynamically stable (i.e., not bleeding)"
"HDU","high dependency unit"
"HDV","hepatitis D virus"
"HDW","Hemoglobin Distribution Width"
"H&E","hematoxylin and eosin, a standard tissue stain"
"HE","hepatic encephalopathy"
"HEC","High emetogenic chemotherapy"
"HEENT","head, eyes, ears, nose, throat"
"HELP  HELLP","Hemolysis, elevated liver enzymes, low platelets (syndrome) (in pregnancy)"
"HEMA","hydroxy ethyl methacrylate, a material in soft contact lenses"
"Hema","hematest – e.g. hema (-) – fecal occult blood"
"HES","hydroxyethyl starch"
"HETE","hydroxyeicosatetraenoic acid"
"HEV","hepatitis E virus"
"HF","heart failure"
"HFpEF","heart failure with preserved ejection fraction"
"HFrEF","heart failure with reduced ejection fraction"
"HFM","hand, foot and mouth disease"
"HFMD","hand, foot and mouth disease"
"HFNC","high flow Nasal cannula"
"HFRS","hemorrhagic fever with renal syndrome"
"HGB","hemoglobin"
"HGSIL","high-grade squamous intraepithelial lesion"
"HGV","hepatitis G virus"
"HGPRTase","hypoxanthine-guanine phosphoribosyl transferase"
"HH","hiatus hernia"
"H/H or H&H","hemoglobin and hematocrit"
"HHT","hereditary hemorrhagic telangiectisia"
"HHV","human herpesvirus  (including numerous subtypes such as HHV8)"
"HI","homicidal ideation"
"Hib","haemophilus influenzae B"
"HIDA","hepatobiliary iminodiacetic acid"
"HIDS","hyper-IgD (and periodic fever) syndrome"
"HIT","heparin-induced thrombocytopenia"
"HIV","human immunodeficiency virus"
"HL","hepatic lipase Hodgkin's lymphoma  hearing level"
"HLA","human leukocyte antigen"
"HLD","Hyperlipidemia"
"HLHS","hypoplastic left heart syndrome"
"H&M","hematemesis and melena"
"HMD","hyaline membrane disease"
"HMG","human menopausal gonadotropin"
"HMG-CoA","3-hydroxy-3-methyl-glutaryl-CoA"
"HMGR","3-hydroxy-3-methyl-glutaryl-CoA reductase"
"H-mole","hydatidiform mole"
"HMS","hyperreactive malarial splenomegaly"
"HMSN","hereditary motor sensory neuropathy"
"HN","hemagglutinin-neuraminidase"
"HND","hemolytic disease of the newborn"
"HNP","spinal disk herniation or herniated disk, that is, herniated nucleus pulposus"
"HNPCC","hereditary nonpolyposis colorectal cancer"
"H/O","history of ..."
"HOB","head of bed (usually followed by number of degrees of elevation, e.g., HOB 10°)"
"HOCM","hypertrophic obstructive cardiomyopathy"
"HONK","hyperosmolar nonketotic state"
"HOPI","History of present illness"
"HoTN","Hypotension"
"H&P","history and physical examination (which very often are considered as a pair)"
"HPA","hypothalamic-pituitary-adrenal axis"
"HPETE","hydroxyeicosatetraenoic acid"
"HPF","high-power field (microscopy)"
"HPI  H/oPI","history of the present illness"
"HPOA","hypertrophic pulmonary osteoarthropathy (clubbing)"
"hPL","human placental lactogen (same as human chorionic somatomammotropin)"
"HPS","hantavirus pulmonary syndrome"
"HPV","human papillomavirus"
"HR","heart rate"
"hr","hour or hours"
"HRAS","Harvey rat sarcoma viral oncogene homolog"
"HRCT","High-resolution computed tomography"
"HRT","hormone replacement therapy"
"h.s.","at bedtime (from Latin hora somni)"
"hs","hours of sleep"
"H<U+2192>S","heel-to-shin test"
"HSC","human chorionic somatomammotropin (same as human placental lactogen)"
"HSG","hysterosalpingogram"
"HSIL","high-grade squamous intraepithelial lesion"
"HSM","hepatosplenomegaly"
"HSP","Henoch–Schönlein purpura"
"HSV","herpes simplex virus"
"HT","hypertension"
"Ht","height"
"HTLV","human T-lymphotropic virus"
"HTN","hypertension"
"HTPA","hypothalamic-pituitary-adrenal axis"
"HTVD","hypertensive vascular disease"
"HUS","hemolytic uremic syndrome"
"HVA","homovanillic acid"
"HVLT","high-velocity lead therapy (facetious term for gunshot wound)"
"Hx","history (of)"
"131I or I131","iodine-131 (aka radioactive iodine or radioiodine)"
"IA","intra-arterial
intra-articular"
"IAA","insulin autoantibody"
"IABP","intra-aortic balloon pump"
"IAI","intra-amniotic infection"
"IBC","inflammatory breast cancer"
"IBD","inflammatory bowel disease"
"IBS","irritable bowel syndrome"
"IC","ileocecal immunocompromised informed consent intensive care interstitial cystitis immune complex intracardiac"
"ICD","implantable cardioverter-defibrillator"
"ICDS","Integrated Child Development Services Program"
"ICD-10","International Classification of Diseases, 10th Revision"
"ICF","intracellular fluid"
"ICG","impedance cardiography"
"ICH","intracerebral hemorrhage"
"ICM","ischemic cardiomyopathy"
"ICP","intracranial pressure"
"ICS","intercostal space  inhaled corticosteroids internal carotid stenosis"
"ICSI","intracytoplasmic sperm injection"
"ICU","intensive care unit"
"ICCU","intensive cardiac care unit"
"ID","infectious dose infectious disease identifying data"
"I&D","incision and drainage (how to treat an abscess)"
"IDA","iron deficiency anemia"
"IDC","idiopathic dilated cardiomyopathy indwelling catheter  infiltrating ductal carcinoma"
"IDDM","insulin-dependent diabetes mellitus (now called diabetes mellitus type 1)"
"IDL","intermediate-density lipoprotein"
"IDP","infectious disease precautions"
"IE","infective endocarditis"
"IF","immunofluorescence"
"IFG","impaired fasting glycaemia"
"Ig","immunoglobulin"
"IgA","immunoglobulin A"
"IgAV","IgA vasculitis (formerly known as Henoch-Schönlein purpura)"
"IgD","immunoglobulin D"
"IgE","immunoglobulin E"
"IGF","insulin-like growth factor"
"IgG","immunoglobulin G"
"IgG4-RD","IgG4-related disease"
"IgG4-RKD","IgG4-related kidney disease"
"IgG4-ROD","IgG4-related ophthalmic disease"
"IgG4-TIN","IgG4-related tubulointerstitial nephritis"
"IgM","immunoglobulin M"
"IGT","impaired glucose tolerance"
"IHC","immunohistochemistry"
"IHD","ischaemic heart disease"
"IHPS","infantile hypertrophic pyloric stenosis"
"IHSS","ideopathic hypertrophic subaortic stenosis (hypertrophic cardiomyopathy)"
"IIEF","International Index of Erectile Function"
"ILD","interstitial lung disease"
"ILI","Influenza-like illness"
"IM","intramuscular"
"IMA","inferior mesenteric artery"
"IMB","intermenstrual bleed (bleeding between periods)"
"IMI","intramuscular injection"
"IMM","intramyometrial"
"IMN","infectious mononucleosis intramedullary nail"
"IMRT","intensity-modulated radiotherapy"
"IMT","inflammatory myofibroblastic tumor intima-media thickness"
"IMV","intermittent mandatory ventilation (see mechanical ventilation)"
"Inc","incomplete"
"INF(-a/-ß/-<U+03B3>)","interferons -a/-ß/-<U+03B3>"
"INH","inhaled"
"Inj","injection"
"INR","international normalized ratio"
"Int","internal"
"INT","intermittent needle therapy"
"IO","intraosseous infusion"
"I&O","inputs and outputs  intake and outputs"
"IODM","infant of diabetic mother"
"IOL","induction of labor intraocular lens"
"IOP","intra-orifice pressure"
"IP","interphalangeal joint"
"IPF","idiopathic pulmonary fibrosis"
"IPG","Implantable Pulse Generator"
"IPH","intraparenchymal hemorrhage or intraperitoneal hemorrhage or idiopathic pulmonary hemosiderosis"
"IPMN","Intraductal papillary mucinous neoplasm"
"IPPB","intermittent positive pressure breathing (see mechanical ventilation)"
"IPPV","intermittent positive pressure ventilation (see mechanical ventilation)"
"IPS","intraperitoneal sounds"
"IQ","intelligence quotient"
"IR","insulin resistanceInterventional radiology"
"IRDS","infant respiratory distress syndrome"
"IRIDA","inherited iron-refractory iron deficiency anemia"
"IRIS","Immune reconstitution inflammatory syndrome"
"IS","Incentive Spirometry"
"ISA","intrinsic sympathomimetic activity"
"ISDN","isosorbide dinitrate"
"ISH","isolated systolic hypertension"
"ISMN","isosorbide mononitrate"
"ISQ","no change (from Latin, in status quo)"
"IT","immature teratoma intrathecal"
"ITP","idiopathic thrombocytopenic purpura  immune-mediated thrombocytopenic purpura"
"ITU","intensive treatment unit (or intensive therapy unit)"
"IUCD","intrauterine contraceptive device"
"IU","international units"
"IUD","intrauterine death—sometimes confused with intrauterine contraceptive device—use FDIU or IUFD instead. intrauterine device—sometimes confused with intrauterine death—use IUCD instead (intrauterine contraceptive device)"
"IUFD","intrauterine foetal demise"
"IUGR","intrauterine growth restriction"
"IUI","intrauterine insemination"
"IUP","intrauterine pregnancy"
"IUPC","intrauterine pressure catheter"
"IUS","intrauterine system"
"IUT","intrauterine transfusion"
"IV","intravenous"
"IVC","inferior vena cava"
"IVD","Intervertebral disc"
"IV-DSA","intravenous digital subtraction angiography"
"IVDU","intravenous drug user"
"IVF","in vitro fertilization; intravenous fluids"
"IVH","interventricular hemorrhage"
"IVIG","intravenous immunoglobulin"
"IVP","intravenous pyelogram"
"IVPB","intravenous piggyback (i.v. short-term infusion)"
"IVPG","Intravenous pyogenic granuloma"
"IVSS","Intravenous Soluset[1]"
"IVU","intravenous urogram"
"IVUS","intravascular ultrasound"
"Ix","Investigation(s)"
"JCV","JC virus (named after the initials of an anonymous patient)"
"JEV","Japanese encephalitis virus"
"JIA","juvenile idiopathic arthritis"
"JMS","junior medical student, aka MS-3"
"JODM","juvenile-onset diabetes mellitus"
"JP","Jackson-Pratt {drain}"
"JRA","juvenile rheumatoid arthritis (now called juvenile idiopathic arthritis)"
"JVD","jugular venous distension"
"JVP","jugular venous pressure"
"K","potassium (from Latin kalium)"
"KA","ketoacidosis"
"Kcal","kilocalorie; calorie"
"KCCT","kaolin cephalin clotting time (see Partial thromboplastin time)"
"KELS","Kohlman Evaluation of Living Skills"
"kg","kilogram"
"KIV","keep in view"
"KLS","kidney, liver, spleen"
"Km","Michaelis constant"
"KOH","potassium hydroxide"
"KS","Kaposi's sarcoma; Kartagener syndrome"
"KSHV","Kaposi's sarcoma-associated herpesvirus"
"KUB","kidneys, ureters, and bladder (x-ray)"
"KVO","keep vein open (with slow infusion)"
"L","leukocytes lumbar vertebrae (L1 to L5)"
"L&D","labor and delivery"
"LA","left atrium lymphadenopathy local anesthetic"
"LAAM","L-alpha-acetylmethadol"
"Lab","laboratory (in health care, usually referring to clinical laboratory)"
"LABA","long-acting beta agonist"
"LABBB","left anterior bundle branch block"
"Lac","laceration lactate"
"LAD","left anterior descending (a coronary artery) leukocyte adhesion deficiency left axis deviation (see electrocardiogram) lymphadenopathy"
"LAE","left atrial enlargement"
"LAH","left anterior hemiblock"
"LAHB","left anterior hemiblock"
"Lam","laminectomy"
"LAN","lymphadenopathy"
"LAP","leukocyte alkaline phosphatase"
"Lap","laparotomy"
"Lap appy","laparoscopic appendectomy"
"LAR","low anterior resection"
"LARP","left <U+2192> anterior, right <U+2192> posterior (path of the vagi as they wander from thorax to abdomen)"
"LAS","lymphadenopathy syndrome"
"Lat","lateral"
"lb  LB","pound or pounds (mass)"
"LBBB","left bundle branch block"
"LBO","large bowel obstruction"
"LBP","low back pain"
"LBW","low birth weight"
"LCA","left coronary artery"
"LCHAD","long-chain 3-hydroxyacyl-coenzyme A dehydrogenase"
"LCIS","lobular carcinoma in situ"
"LCM","lymphocytic meningitis"
"LCMV","lymphocytic choriomeningitis virus"
"LCP","Liverpool Care Pathway for the Dying Patient"
"LCPD","Legg–Calvé–Perthes disease"
"LCV","leukocytoclastic vasculitis"
"LCX","left circumflex artery"
"L&D","labor and delivery"
"LDH","lactate dehydrogenase"
"LDL","low-density lipoprotein"
"LDL-C","low-density lipoprotein cholesterol"
"L-DOPA","levo-dihydroxyphenylalanine"
"LEC","lupus erythematosus cell"
"LEEP","loop electrical excision procedure"
"LES","lower esophageal sphincter lupus erythematosus systemicus"
"LE","lupus erythematosus  lower extremity (human leg)"
"leu","leukocytes"
"LFT","liver function test"
"LGA","large for gestational age"
"LGL","Lown–Ganong–Levine syndrome"
"LGM","lymphogranulomatosis maligna"
"LGSIL","low-grade squamous intraepithelial lesion"
"LGV","lymphogranuloma venereum"
"LH","luteinizing hormone lightheadedness"
"LHC","left heart catheterization"
"LHRH","luteinizing hormone–releasing hormone"
"Lig","ligament"
"LIH","left inguinal hernia"
"LLD","leg length discrepancy"
"LLE","left lower extremity"
"LLETZ","large loop excision of the transformation zone"
"LLL","left lower lobe"
"LLQ","left lower quadrant"
"LM","left main"
"LMA","left mentoanterior (fetal position)  laryngeal mask airway"
"LMCA","left main coronary artery"
"LMD","local medical doctor"
"LMP","last menstrual period—first day of the menstrual period  low malignant potential"
"LMWH","low-molecular-weight heparin"
"LN","lymph node Logical Observation Identifiers Names and Codes (LOINC)"
"LND","lymph node dissection"
"LNG","levonorgestrel"
"LNI","lymph node involvement"
"LOA","left occipitoanterior (fetal position) level of activity  lysis of adhesions"
"LOC","loss of consciousness level of consciousness (e.g., ""altered LOC from head trauma"")"
"LOF","leakage of fluid"
"LOH","loss of heterozygosity"
"LOI","loss of imprinting"
"LOL","little old lady (often LOL in NAD—see House of God)"
"LOM","limitation of motion"
"LOP","left occiput posterior (fetal position)"
"LORTA","loss of resistance to air (in anesthesiology; when placing epidural, LORTA indicates entrance of needle to epidural space)"
"LOS","length of stay"
"Lot","lotion"
"LOT","left occiput transverse (fetal position)"
"Lp","lipoprotein"
"LP","lumbar puncture"
"LPH","left posterior hemiblock (see heart block)"
"LPL","lipoprotein lipase"
"LPP","lichen planopilaris"
"LQTS","long QT syndrome"
"L/S","lecithin-to-sphingomyelin ratio"
"LS","lichen sclerosus Lynch syndrome"
"LSA","lichen sclerosis et atrophicus"
"LSB","left sternal border"
"LSIL","low-grade squamous intraepithelial lesion"
"LST","laterally spreading tumor"
"LR","lactated Ringer's solution"
"LRINEC","Laboratory Risk Indicator for Necrotizing Soft Tissue Infections Score"
"LRTI","lower respiratory tract infection"
"LSCTA","lung sounds clear to auscultation"
"LT","heat-labile enterotoxin"
"LTAC","long-term acute care"
"LTCS","low transverse cesarean section"
